CurrStudents Grads Drops Mins GradRate AvgGradTime AvgGradClassFailed NumDropOuts_Failed NumDropOuts_Natural NumDropOuts_Time

1131 8478 2268 10051 0.79 8.83 1.71 852 1061 366
1205 8462 2309 9935 0.79 9.04 1.75 869 1071 380
1087 8491 2227 10136 0.79 8.22 1.80 937 999 305
1193 8485 2204 10038 0.79 8.58 1.74 846 1063 312
1172 8461 2279 10027 0.79 8.65 1.76 894 1049 351
1184 8495 2266 10022 0.79 8.93 1.72 868 1059 356
1142 8487 2241 10075 0.79 8.33 1.77 904 1027 329
1109 8483 2285 10044 0.79 8.74 1.75 903 1044 353
1125 8537 2222 10056 0.79 8.97 1.71 841 1076 315
1193 8452 2356 9922 0.78 8.96 1.73 916 1067 383
