GradRate AvgGradTime1

0.00 0.002
0.00 0.003 
0.00 0.004
0.00 0.005 
0.42 4.006 
0.59 4.467 
0.70 4.648 
0.75 4.779 
0.75 4.7310 
0.78 4.8411 
0.79 4.8812 
0.77 4.9413 
0.79 5.0914 
0.80 5.1415 
0.80 5.2016 
0.81 5.2117 
0.81 5.4018 
0.80 5.4819 
0.81 5.3920 
0.81 5.6821 
0.79 5.4422 
0.80 5.6623 
0.80 5.5024 
0.81 5.8125 
0.81 5.5326 
0.80 5.7527 
0.81 5.9928 
0.80 6.0829 
0.82 5.8230 
0.81 5.9831 
0.82 5.9032 
0.80 6.1233 
0.81 6.0534 
0.81 5.8835 
0.81 6.0236 
0.81 6.0337 
0.80 6.2038 
0.80 6.0839 
0.81 6.2240 
0.81 6.3141 
0.81 6.3942 
0.81 6.6043 
0.81 6.7444 
0.81 6.9445 
0.80 6.3546 
0.80 7.0947 
0.81 6.7048 
0.81 6.8749 
0.81 6.7450 
0.81 6.7751 
0.80 6.4952 
0.81 6.5853 
0.81 6.7354 
0.81 7.3155 
0.81 7.0356 
0.81 6.8557 
0.80 7.1158 
0.80 7.3059 
0.80 7.0260 
0.81 7.0161 
0.80 6.9262 
0.80 7.4463 
0.81 6.9864 
0.80 7.4165 
0.80 7.3266 
0.81 7.1267 
0.80 7.4968 
0.80 7.4269 
0.79 7.2970 
0.80 7.7371 
0.80 7.5672 
0.80 7.4773 
0.80 7.6774 
0.81 7.5475 
0.80 7.7276 
0.80 7.9877 
0.79 7.5678 
0.79 7.8179 
0.80 8.0180 
0.80 8.07
